agent,seen,episode_return,completion_rate,num_completed,num_failed,w_latency,w_sla,w_rejection,w_balance,w_energy,w_utilization
FIFO,False,-505.06048194875814,0.010194985285711515,1.0214285714285716,118.72142857142856,-0.9651723784391066,-421.7357142857143,0.0,-26.916055045012964,-55.67908477420659,0.23554453461474764
FIFO,True,-447.6600757592739,0.01650966822599397,1.375,118.55,-0.877545822583146,-385.4625,0.0,-28.321879089568718,-33.062533838166146,0.06438299104409279
Greedy,False,-425.38366392569367,0.118279645587378,9.921428571428573,110.05714285714285,-6.489636304374232,-400.2964285714285,0.0,-3.499551501013434,-15.961099431917969,0.8630518830405098
Greedy,True,-356.47222277356224,0.2252888143557418,19.81875,100.10625,-10.234792986992613,-338.00625,0.0,-2.2120612861925117,-6.93905414809747,0.919935647720363
PPO,False,-414.87780207455916,0.17906507672198033,18.114285714285717,101.86428571428571,-9.658231119183752,-377.13214285714287,0.0,-9.389437462549049,-20.244572851823396,1.5465822161398575
PPO,True,-335.15313531527704,0.3191278854481386,32.96875,86.95625,-13.21076160676532,-299.615625,0.0,-10.306731684947705,-13.454677117520756,1.4346600939567369
Random,False,-455.84072693987406,0.11014765338762168,9.764285714285714,110.21428571428571,-6.119251035673285,-328.45714285714286,-95.64285714285714,-9.539890557770901,-16.88642680348298,0.8048414570531337
Random,True,-372.05428228169444,0.2174209464108512,20.48125,99.44375,-10.166535537578106,-325.35,-12.875,-10.995651287679188,-13.654247063493921,0.987151607056761
RoundRobin,False,-450.52960033678374,0.1279681671848089,11.392857142857142,108.58571428571429,-7.129402409496949,-324.42857142857144,-94.42857142857143,-9.023427492506416,-16.477914711452378,0.9582871338148659
RoundRobin,True,-364.98837132931186,0.23816355365382885,22.462500000000002,97.4625,-10.552659884678727,-319.621875,-12.175,-10.154523314318325,-13.521190836617274,1.0368777063024393
