agent,workload,network,seen,condition,episode,seed,total_tasks_generated,num_completed,num_failed,completion_rate,avg_latency_ms,deadline_met_rate,total_energy_joules,final_time_ms,task_seed,duration_ms,truncated,num_decisions,episode_return,p95_latency_ms,late_completions,deadline_failures,sla_violations,rejections,fail_deadline_missed_while_running,raw_latency,raw_sla,raw_rejection,raw_balance,raw_energy,raw_utilization,w_latency,w_sla,w_rejection,w_balance,w_energy,w_utilization,fail_server_full_or_incompatible
FIFO,normal,normal,True,normal_normal,0,90000,35.0,5.0,30.0,0.14285714285714285,1035.004887618698,1.0,1955.2249837903848,17950.0,90000.0,10000.0,0.0,35.0,-115.00053399849753,1318.4522213606244,0.0,30.0,30.0,0.0,30.0,5.175024438093491,35.5,0.0,6.841947060525827,19.552249837903847,0.5001230628773876,-2.5875122190467454,-106.5,0.0,-2.0525841181577484,-3.91044996758077,0.05001230628773875,0.0
RoundRobin,normal,normal,True,normal_normal,0,90000,35.0,22.0,13.0,0.6285714285714286,672.3966461748392,1.0,1340.1943885710714,11530.0,90000.0,10000.0,0.0,35.0,-64.69494742709503,1090.0524493707746,0.0,13.0,13.0,0.0,13.0,14.792726215846463,18.0,0.0,2.6943932530251513,13.401943885710715,1.9012243387788292,-7.396363107923231,-54.0,0.0,-0.8083179759075456,-2.6803887771421424,0.1901224338778829,0.0
Random,normal,normal,True,normal_normal,0,90000,35.0,17.0,18.0,0.4857142857142857,676.0395891836841,1.0,1668.6049650064901,14730.0,90000.0,10000.0,0.0,35.0,-83.42923771373867,953.4919641806505,0.0,18.0,18.0,0.0,18.0,11.49267301612263,24.5,0.0,3.338240458724508,16.6860496500649,1.5578086195297902,-5.746336508061315,-73.5,0.0,-1.0014721376173523,-3.3372099300129805,0.155780861952979,0.0
Greedy,normal,normal,True,normal_normal,0,90000,35.0,21.0,14.0,0.6,694.1932845755613,1.0,1197.8587925004067,10110.0,90000.0,10000.0,0.0,35.0,-74.8726081030486,1098.5189498986751,0.0,14.0,14.0,0.0,14.0,14.578058976086785,21.5,0.0,2.9319978937792,11.978587925004067,1.917383381293353,-7.289029488043393,-64.5,0.0,-0.8795993681337597,-2.3957175850008134,0.19173833812933525,0.0
ECT,normal,normal,True,normal_normal,0,90000,35.0,29.0,6.0,0.8285714285714286,620.4623244453867,0.9655172413793104,1198.027469811447,10000.0,90000.0,10000.0,0.0,35.0,-43.32863908557584,863.4043301653941,1.0,6.0,7.0,0.0,6.0,17.99340740891621,10.5,0.0,2.1539550501879146,11.98027469811447,2.103060735615378,-8.996703704458104,-31.5,0.0,-0.6461865150563745,-2.396054939622894,0.21030607356153777,0.0
PPO,normal,normal,True,normal_normal,0,90000,35.0,30.0,5.0,0.8571428571428571,630.8838310632052,0.9666666666666667,1198.1119753727037,10000.0,90000.0,10000.0,0.0,35.0,-40.745481209398385,893.9678719061808,1.0,5.0,6.0,0.0,5.0,18.926514931896154,9.5,0.0,2.0465694529614695,11.981119753727036,2.2797104318354133,-9.463257465948077,-28.5,0.0,-0.6139708358884407,-2.3962239507454077,0.2279710431835413,0.0
FIFO,normal,normal,True,normal_normal,1,90001,49.0,3.0,46.0,0.061224489795918366,1528.59269079318,1.0,2988.556891562793,27630.0,90001.0,10000.0,0.0,49.0,-148.39445003731828,2133.7654853433664,0.0,46.0,46.0,0.0,46.0,4.58577807237954,45.0,0.0,17.299517631588948,29.88556891562793,0.6540807147375739,-2.29288903618977,-135.0,0.0,-5.189855289476687,-5.977113783125587,0.06540807147375739,0.0
RoundRobin,normal,normal,True,normal_normal,1,90001,49.0,30.0,19.0,0.6122448979591837,831.1981693989751,1.0,1805.6256569045242,15500.0,90001.0,10000.0,0.0,49.0,-80.54558847551932,1716.8081621337183,0.0,19.0,19.0,0.0,19.0,24.93594508196925,21.0,0.0,6.045617593003271,18.056256569045242,3.4732065717534217,-12.467972540984626,-63.0,0.0,-1.8136852779009809,-3.6112513138090487,0.3473206571753422,0.0
Random,normal,normal,True,normal_normal,1,90001,49.0,34.0,15.0,0.6938775510204082,926.7935138572209,1.0,1682.9296069442394,14220.0,90001.0,10000.0,0.0,49.0,-74.98607213636174,2000.0585170917736,0.0,15.0,15.0,0.0,15.0,31.510979471145514,18.0,0.0,7.602478424037208,16.8292960694424,4.160203403106469,-15.755489735572757,-54.0,0.0,-2.280743527211162,-3.3658592138884798,0.41602034031064694,0.0
Greedy,normal,normal,True,normal_normal,1,90001,49.0,35.0,14.0,0.7142857142857143,951.0741808685029,1.0,1360.761278100539,11060.0,90001.0,10000.0,0.0,49.0,-75.89178004399099,2195.708273867629,0.0,14.0,14.0,0.0,14.0,33.287596330397605,18.5,0.0,4.698474638620858,13.60761278100539,3.8308306899515,-16.643798165198803,-55.5,0.0,-1.4095423915862573,-2.7215225562010774,0.3830830689951501,0.0
